BTJD,mjd,magap,sig_magap,flux,e_flux,mjd_0,e_flux_tuple,modelFlux,modelResidual
1885.0050925998946,58884.5050925999,18.5858993530273,0.0832000002264977,1.0304342129560218,0.0790395093218206,14.56101260009018,"(0.0030091616616509873, 0.0032488190281379503)",1.1131891050993024,-0.08275489214328058
1885.006053199992,58884.50605319999,18.402999877929695,0.0711999982595444,1.2194951008648387,0.0800289195225011,14.561973200179636,"(0.0030643158453210403, 0.0032720017418406827)",1.1134282086491958,0.10606689221564292
1885.0487500000745,58884.548750000096,18.5312995910645,0.0750000029802322,1.0835779894318012,0.0749104607416778,14.604670000284386,"(0.0028631458110869867, 0.003067916018710995)",1.1240911006888685,-0.04051311125706736
1885.0520255002193,58884.5520255002,18.5337009429932,0.0732999965548515,1.0811840592216593,0.07304813386973817,14.60794550038554,"(0.0027942272918957817, 0.0029893841589376663)",1.1249119537316905,-0.04372789451003123
1886.0339468000454,58885.5339468,18.2556991577148,0.0579999983310699,1.3966910430290782,0.0746466885891516,15.589866800190066,"(0.0028761771726674573, 0.003034000405049808)",1.3894708626792183,0.007220180349859939
1886.0348726999946,58885.5348727,18.233699798584002,0.0560000017285347,1.425279673989468,0.07354554194771445,15.590792700189922,"(0.002836429134854518, 0.0029865647738614373)",1.3897378985528532,0.03554177543661474
1887.0302662001925,58886.530266200185,18.126499176025398,0.0750999972224236,1.5731869700597894,0.1089035898404385,16.58618620037305,"(0.00416219577167392, 0.004460283898528324)",1.6963463824231264,-0.12315941236333705
1887.0501041999087,58886.5501041999,18.1026992797852,0.0636999979615211,1.608052780024874,0.09439837546620693,16.60602420008945,"(0.0036274185676462567, 0.0038466057005165644)",1.702857489122108,-0.09480470909723393
1887.9915741002187,58887.4915741002,18.0403995513916,0.0888999998569489,1.7030217343266854,0.1395991575679003,17.547494100384938,"(0.00530028143492612, 0.005752530505159448)",2.030177417173066,-0.32715568284638064
1887.992476900108,58887.4924769001,17.941499710083,0.0803999975323677,1.8654350265405206,0.13826386219003206,17.548396900288935,"(0.005270976191701582, 0.0056761132715927864)",2.0305086544402156,-0.16507362789969493
1888.0093287001364,58887.5093287001,17.9400997161865,0.0767000019550323,1.867841948328566,0.13206031912914015,17.565248700288066,"(0.005043377409596067, 0.005412544370391112)",2.036697734762076,-0.16885578643350985
1888.0102315000256,58887.5102315,17.9475002288818,0.0756999999284744,1.855153796968248,0.12945036722144057,17.566151500184787,"(0.004946060552816212, 0.0053032173755099)",2.037029631584632,-0.18187583461638424
1888.9672801001002,58888.4672801001,18.0396995544434,0.113899998366833,1.7041200622476966,0.17910012118586296,18.523200100287795,"(0.006718598721607447, 0.007461715775999966)",2.4078834944854424,-0.7037634322377457
1888.9686573999934,58888.4686574,17.8785991668701,0.092799998819828,1.976698097912528,0.16915804329640247,18.52457740018872,"(0.0064105629835274625, 0.006982584033126918)",2.4084447797893014,-0.43174668187677345
1890.9474653000946,58890.447465300094,17.8497009277344,0.0756999999284744,2.030016837207821,0.1416520967003996,20.50338530028239,"(0.005412266204815455, 0.005803087906378276)",3.298564776396466,-1.268547939188645
1890.9497453998774,58890.4497453999,17.702100753784197,0.0663999989628792,2.3256251190627464,0.14231613758111242,20.50566540008731,"(0.005461741329498532, 0.005806188449793179)",3.29968827937873,-0.9740631603159837
1890.966898099985,58890.46689809999,17.715499877929698,0.0626000016927719,2.297100836381328,0.13251672035775972,20.522818100180302,"(0.0050948361972273926, 0.005397221309056718)",3.3081474699197857,-1.0110466335384576
1890.9701156998053,58890.470115699805,17.9058990478516,0.0737000033259392,1.9276154208073997,0.13094745022375187,20.526035699993372,"(0.005008030240877204, 0.00535977975577602)",3.3097357318578586,-1.382120311050459
1891.9869443997738,58891.4869443998,17.829299926757802,0.0529000014066696,2.0685215054444783,0.10082383654154399,21.54286439999123,"(0.003894164986877474, 0.004088597400707716)",3.834592158236667,-1.7660706527921888
1892.822905099951,58892.3229051,17.6665992736816,0.0529999993741512,2.4029254747679545,0.11734492491530799,22.378825100189715,"(0.004532052714579751, 0.004758772601336003)",4.3007351595678065,-1.897809684799852
1893.0078703998588,58892.5078703999,17.7294998168945,0.0450000017881393,2.267671199528331,0.09401402098973319,22.56379040009051,"(0.0036446796933639614, 0.0037989131752058647)",4.408150564755055,-2.140479365226724
1893.8159374999814,58893.3159375,17.6284999847412,0.0412000007927418,2.488742803468783,0.09446200148998467,23.371857500191254,"(0.003668588204861295, 0.0038104736759029395)",4.895786342842956,-2.407043539374173
1893.8192014000376,58893.31920140001,17.625799179077102,0.0412999987602234,2.4949413420127446,0.09492722520668578,23.375121400196804,"(0.003686482944101177, 0.003829413186527811)",4.897816920134939,-2.402875578122194
1894.013773099985,58893.51377309999,17.7194995880127,0.0377000011503696,2.288654185263345,0.07948487330435743,23.569693100180302,"(0.0030919967169637935, 0.0032012458213178385)",5.019757093937637,-2.7311029086742917
1894.0360763999633,58893.53607640001,17.6704006195068,0.0368999987840652,2.394527137423259,0.08139643759092835,23.591996400195058,"(0.003167544203818054, 0.0032770471028870235)",5.033846889942208,-2.6393197525189493
1894.9781480999663,58894.4781481,17.646900177002,0.0331999994814396,2.4469209556976312,0.07483441623560706,24.53406810019078,"(0.0029172295548317156, 0.0030078114247024113)",5.650169720093222,-3.203248764395591
1895.006527800113,58894.5065278001,17.6443996429443,0.0362000018358231,2.4525628974377014,0.08178711473616725,24.562447800286463,"(0.0031837908445679908, 0.00329173246123253)",5.669381808733643,-3.2168189112959418
1895.9531018999405,58895.453101899904,17.660400390625,0.0324000008404255,2.416683933689444,0.07212818635439494,25.509021900092193,"(0.0028127857814484875, 0.002897988504326196)",6.332023891430198,-3.9153399577407537
1895.9553935001604,58895.4553935002,17.662399291992198,0.0306000001728535,2.412238775907299,0.0679946740764875,25.51131350038486,"(0.0026538218431574334, 0.0027296801678005217)",6.333679828455064,-3.9214410525477645
1898.864583299961,58898.36458330001,17.623600006103498,0.0263000000268221,2.4999999999999996,0.060563910380914215,28.420503300199925,"(0.0023685471960665505, 0.0024266215102406313)",8.641101155781868,-6.141101155781868
1899.0100810001604,58898.5100810002,17.631299972534197,0.0273000001907349,2.4823328930811384,0.062422924835001205,28.56600100038486,"(0.002440112110034323, 0.0025022447133997844)",8.767420643196846,-6.285087750115708
