BTJD,mjd,cts,e_cts,bkg_model,raw_flux,e_raw_flux,flux,e_flux,scale,shift,bkg_frac,mjd_0,modelFlux,modelResidual
1870.44408,58869.94407999981,-5339.0302,1368.8706,0.009095099090806124,-0.6712236732485446,0.1720946160473,-0.046262365557760754,0.1421072456304078,0.825750676542663,0.036886320372244936,1.3116074967722289,0.0,-0.041306671850380235,-0.004955693707380519
1870.46491,58869.9649100001,-6841.1413,1375.3282,0.009095099090806124,-0.8600693048333619,0.17290646648267866,-0.20220177360105004,0.14277763167667318,0.825750676542663,0.036886320372244936,1.3116074967722289,0.020830000285059214,-0.041306671850380235,-0.16089510175066982
1870.48574,58869.985739999924,-2219.7583,1400.761,0.009095099090806124,-0.27906834463119257,0.17610388189287723,0.27756016235782804,0.1454178996148326,0.825750676542663,0.036886320372244936,1.3116074967722289,0.0416600001117331,-0.041306671850380235,0.31886683420820827
1870.50658,58870.00657999981,-10843.6913,1370.6601,0.009095099090806124,-1.3632704879547763,0.17231959225426702,-0.6177204910006266,0.14229301988551682,0.825750676542663,0.036886320372244936,1.3116074967722289,0.0625,-0.041306671850380235,-0.5764138191502464
1870.52741,58870.0274100001,-9069.4821,1365.9754,0.009095099090806124,-1.140216642644937,0.17173063107137887,-0.43353362733058404,0.14180668479028954,0.825750676542663,0.036886320372244936,1.3116074967722289,0.08333000028505921,-0.041306671850380235,-0.3922269554802038
1870.54824,58870.048239999924,-2547.5301,1417.2715,0.009095099090806124,-0.3202758642259098,0.17817958441600026,0.24353302517384506,0.14713191237760276,0.825750676542663,0.036886320372244936,1.3116074967722289,0.1041600001117331,-0.041306671850380235,0.2848396970242253
1870.56907,58870.069070000194,-4363.331,1419.5668,0.009095099090806124,-0.5485586242646175,0.17846814987442516,0.055028381628855906,0.14737019550012398,0.825750676542663,0.036886320372244936,1.3116074967722289,0.1249900003822404,-0.041306671850380235,0.09633505347923614
1870.58991,58870.0899100001,-9081.7466,1408.5105,0.009095099090806124,-1.141758537414619,0.17707815018898831,-0.4348068479798069,0.1462224023194804,0.825750676542663,0.036886320372244936,1.3116074967722289,0.1458300002850592,-0.041306671850380235,-0.39350017612942667
1870.61074,58870.110739999924,-3893.5629,1404.6370000000002,0.009095099090806124,-0.4894993086501469,0.17659117319111925,0.10379665145365166,0.14582028073402928,0.825750676542663,0.036886320372244936,1.3116074967722289,0.1666600001117331,-0.041306671850380235,0.1451033233040319
1870.63157,58870.131570000194,-12320.2937,1457.983,0.009095099090806124,-1.5489091619700721,0.18329784026955548,-0.7710117516612398,0.15135831561139443,0.825750676542663,0.036886320372244936,1.3116074967722289,0.1874900003822404,-0.041306671850380235,-0.7297050798108595
1870.6524,58870.15240000003,-5271.0884,1395.0928,0.009095099090806124,-0.6626820200166303,0.1753912749432654,-0.039209089622714785,0.1448294639440816,0.825750676542663,0.036886320372244936,1.3116074967722289,0.20832000021619024,-0.041306671850380235,0.0020975822276654496
1870.67323,58870.17322999983,-7548.1391,1419.9585,0.009095099090806124,-0.9489531737230038,0.17851739445686102,-0.2755976884704014,0.14741085924738642,0.825750676542663,0.036886320372244936,1.3116074967722289,0.22915000002103625,-0.041306671850380235,-0.23429101662002116
1870.69406,58870.194060000125,-12702.4975,1425.1894,0.004856871529638358,-1.5969598807252399,0.17917502398523416,-0.6975386931307271,0.14795389727535496,0.825750676542663,0.036886320372244936,1.3116074967722289,0.24998000031337142,-0.041306671850380235,-0.6562320212803469
1870.7149,58870.21490000003,-4888.1923,1263.6023,0.009095099090806124,-0.6145442652021809,0.15886026966682254,0.0005406939825618104,0.13117897515312862,0.825750676542663,0.036886320372244936,1.3116074967722289,0.27082000021619024,-0.041306671850380235,0.041847365832942046
1870.73573,58870.23572999983,-4206.0807,1389.5768,0.009095099090806124,-0.5287890930891925,0.1746978026003596,0.07135308537189437,0.14425682868776354,0.825750676542663,0.036886320372244936,1.3116074967722289,0.29165000002103625,-0.041306671850380235,0.11265975722227461
1870.75656,58870.256560000125,-243.9908,1384.0568,0.009277825139021829,-0.030674559775828013,0.17400382737685702,0.4777931311327524,0.14368377817745243,0.825750676542663,0.036886320372244936,1.3116074967722289,0.3124800003133714,-0.041306671850380235,0.5190998029831326
1870.77739,58870.277389999945,-10747.8938,1374.2620000000002,0.009095099090806124,-1.3512268119632025,0.17277242365961737,-0.6077754174025238,0.14266694572484462,0.825750676542663,0.036886320372244936,1.3116074967722289,0.33331000013276935,-0.041306671850380235,-0.5664687455521435
1870.79823,58870.29822999983,-5547.7816,1383.3434,0.009095099090806124,-0.6974679303991741,0.17391413862242824,-0.06793357865525272,0.1436097176278046,0.825750676542663,0.036886320372244936,1.3116074967722289,0.35415000002103625,-0.041306671850380235,-0.026626906804872487
1870.81906,58870.319060000125,-6848.5839,1340.8576,0.006495518627967267,-0.8610049896156878,0.16857281750817363,-0.1335715695763755,0.13919911810407723,0.825750676542663,0.036886320372244936,1.3116074967722289,0.3749800003133714,-0.041306671850380235,-0.09226489772599528
1870.83989,58870.339889999945,-12492.4018,1368.3370000000002,0.004856871529638358,-1.570546617978061,0.17202753177569474,-0.6757279235475443,0.1420518507477444,0.825750676542663,0.036886320372244936,1.3116074967722289,0.39581000013276935,-0.041306671850380235,-0.634421251697164
1870.86072,58870.36072000022,-5520.7373,1252.6306,0.00453019481400298,-0.6940679169685634,0.15748090590600677,0.0567464771357872,0.13003996459443654,0.825750676542663,0.036886320372244936,1.3116074967722289,0.4166400004105526,-0.041306671850380235,0.09805314898616743
