BTJD,mjd,cts,e_cts,bkg_model,raw_flux,e_raw_flux,flux,e_flux,scale,shift,bkg_frac,mjd_0,modelFlux,modelResidual
1870.88155,58870.38155000005,-1543.694,1268.2982,0.00453019481400298,-0.19422320103234444,0.15957368252228785,0.47072025584039734,0.13159016516642777,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.4374700002372265,-1.2151877225825876,1.0209645215502432
1870.90239,58870.402389999945,650.0186,1268.5432,0.004355201606939973,0.08178349674389036,0.159604507727447,0.7029898678201849,0.1316155847329507,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.45831000013276935,-1.2151877225825876,1.296971219326478
1870.92322,58870.42322000022,-6245.7588,1283.5042,0.004355201606939973,-0.7858236587121116,0.1614868583167768,-0.012470019308031538,0.13316783834417156,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.4791400004105526,-1.2151877225825876,0.429364063870476
1870.94405,58870.44405000005,-7726.8164,1204.567,0.003435108390636073,-0.972166125538621,0.15155520368539882,-0.14160867802622418,0.124977840766492,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.4999700002372265,-1.2151877225825876,0.24302159704396653
1870.96488,58870.464879999876,-7424.3992,1223.1407,0.003404314141898761,-0.9341168511155562,0.15389209394280376,-0.10941103420229142,0.12690492404292625,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.5208000000639004,-1.2151877225825876,0.28107087146703136
1870.98571,58870.485710000146,-8717.5175,1146.6403,0.003404314141898761,-1.0968133282279267,0.1442670305764535,-0.24357636746282155,0.11896775258648346,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.5416300003344077,-1.2151877225825876,0.1183743943546609
1871.00655,58870.50655000005,-8900.9508,1186.4059,0.003404314141898761,-1.1198923858014653,0.1492702255898251,-0.26260818367451594,0.12309356611514896,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.5624700002372265,-1.2151877225825876,0.09529533678112223
1871.02738,58870.527379999876,-7685.3109,1173.8512,0.003404314141898761,-0.966944021241754,0.14769062884202358,-0.1364814926298549,0.12179097414851606,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.5833000000639004,-1.2151877225825876,0.2482437013408335
1871.04821,58870.548210000146,-8359.4403,1190.6748,0.002609737537340144,-1.051761070461362,0.14980732648086117,-0.18524443190861492,0.12353647871731063,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.6041300003344077,-1.2151877225825876,0.16342665212122554
1871.06904,58870.56903999997,-9556.2608,1175.1823,0.0013294761268461562,-1.2023416314864948,0.14785810406891065,-0.27529190141538173,0.12192908020973497,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.6249600001610816,-1.2151877225825876,0.012846091096092804
