MJD,FLT,FLUXCAL,FLUXCALERR,MAG,MAGERR
58902.57742,orange-ATLAS,6292.163513,364.9454837,18.003,0.058
58902.58065,orange-ATLAS,6228.737089,355.0380141,18.014,0.057
58902.58583,orange-ATLAS,6564.47502,295.4013759,17.957,0.045
58902.59601,orange-ATLAS,6332.861645,360.9731137,17.996,0.057
58906.3115,orange-ATLAS,5062.907583,551.8569266,18.239,0.109
58906.33302,orange-ATLAS,4947.661737,435.3942328,18.264,0.088
58910.57113,orange-ATLAS,4269.72594,324.4991715,18.424,0.076
58910.57629,orange-ATLAS,4425.883724,309.8118607,18.385,0.07
58910.57941,orange-ATLAS,5007.258356,310.4500181,18.251,0.062
58910.58942,orange-ATLAS,4799.544249,278.3735665,18.297,0.058
58914.56386,orange-ATLAS,4508.167045,396.7187,18.365,0.088
58914.56881,orange-ATLAS,3988.411869,319.0729495,18.498,0.08
58914.57205,orange-ATLAS,4297.342812,403.9502243,18.417,0.094
58914.58476,orange-ATLAS,3677.900704,397.2132761,18.586,0.108
58916.6106,orange-ATLAS,3897.624531,697.674791,18.523,0.179
58916.61338,orange-ATLAS,4242.286549,699.9772806,18.431,0.165
58916.61846,orange-ATLAS,4579.309532,709.7929774,18.348,0.155
58916.62721,orange-ATLAS,3654.264678,654.1133773,18.593,0.179
58918.51203,orange-ATLAS,3844.147118,595.8428032,18.538,0.155
58918.5188,orange-ATLAS,4230.580858,600.7424818,18.434,0.142
58918.52263,orange-ATLAS,3988.411869,713.9257246,18.498,0.179
58918.5328,orange-ATLAS,4470.951925,585.6947021,18.374,0.131
58932.4883,cyan-ATLAS,1466.898282,231.7699286,19.584,0.158
58932.49197,cyan-ATLAS,1461.503972,254.3016911,19.588,0.174
58932.49842,cyan-ATLAS,1811.340093,260.8329733,19.355,0.144
58932.50944,cyan-ATLAS,1023.292992,246.6136111,19.975,0.241
58934.4469,orange-ATLAS,1894.959795,1038.437968,19.306,0.548
58934.45272,orange-ATLAS,2691.534804,1165.43457,18.925,0.433
58934.45644,orange-ATLAS,2834.001006,1490.684529,18.869,0.526
58934.46839,orange-ATLAS,-8582.227051,4608.655926,-17.666,0.537
58938.62161,orange-ATLAS,2418.800223,454.734442,19.041,0.188
58938.62503,orange-ATLAS,1548.816619,275.6893582,19.525,0.178
58938.63002,orange-ATLAS,2116.410951,1132.279859,19.186,0.535
58938.63399,orange-ATLAS,1375.308097,529.4936175,19.654,0.385
58942.45864,orange-ATLAS,1173.815932,572.8221751,19.826,0.488
58942.46186,orange-ATLAS,1114.807803,526.1892832,19.882,0.472
58942.46739,orange-ATLAS,1429.55214,604.7005552,19.612,0.423
58942.47246,orange-ATLAS,1336.595517,533.3016111,19.685,0.399
58942.47615,orange-ATLAS,1674.942876,532.6318346,19.44,0.318
58942.47799,orange-ATLAS,1580.520015,581.6313656,19.503,0.368
58942.48263,orange-ATLAS,1426.921232,566.4877289,19.614,0.397
58942.49239,orange-ATLAS,195.3439656,675.3040892,21.773,3.457
58946.51322,orange-ATLAS,478.6300923,867.7563574,20.8,1.813
58946.51729,orange-ATLAS,819.5963205,825.3334947,20.216,1.007
58946.52379,orange-ATLAS,139.3156803,894.5459832,22.14,6.421
58946.53383,orange-ATLAS,830.998041,910.773853,20.201,1.096
58950.42219,orange-ATLAS,1136.579975,386.4371914,19.861,0.34
58950.42538,orange-ATLAS,559.242283,363.507484,20.631,0.65
58950.43126,orange-ATLAS,617.1631685,357.9546377,20.524,0.58
58950.44569,orange-ATLAS,752.3154832,382.1762655,20.309,0.508
58954.60191,orange-ATLAS,-7599.762144,4240.667276,-17.798,0.558
58954.60487,orange-ATLAS,2542.143136,5292.74201,18.987,2.082
58954.61037,orange-ATLAS,2967.563358,3181.22792,18.819,1.072
58954.62158,orange-ATLAS,1799.699517,1538.743087,19.362,0.855
58956.50471,cyan-ATLAS,764.891791,279.1855037,20.291,0.365
58956.50805,cyan-ATLAS,627.480162,288.0133944,20.506,0.459
58956.51386,cyan-ATLAS,972.7472238,281.1239477,20.03,0.289
58956.52458,cyan-ATLAS,912.0108394,290.9314578,20.1,0.319
58958.41091,orange-ATLAS,1062.673865,324.1155289,19.934,0.305
58958.41486,orange-ATLAS,1154.516117,300.1741904,19.844,0.26
58958.42465,orange-ATLAS,1233.67283,346.6620652,19.772,0.281
58960.42465,cyan-ATLAS,817.334818,249.2871195,20.219,0.305
58960.42813,cyan-ATLAS,951.4807364,285.4442209,20.054,0.3
58960.43434,cyan-ATLAS,474.2419853,221.9452491,20.81,0.468
58960.47066,cyan-ATLAS,770.5485366,289.7262498,20.283,0.376
58962.57584,orange-ATLAS,582.9079789,498.9692299,20.586,0.856
58962.57937,orange-ATLAS,1702.942562,480.2298024,19.422,0.282
58962.58573,orange-ATLAS,2316.327696,639.3064441,19.088,0.276
58962.59592,orange-ATLAS,616.5950019,800.9569074,20.525,1.299
58964.43235,cyan-ATLAS,-1049.059208,1392.101569,-19.948,1.327
58964.43558,cyan-ATLAS,173.4602628,316.3915193,21.902,1.824
58964.44202,cyan-ATLAS,1092.446053,723.1992872,19.904,0.662
58964.47644,cyan-ATLAS,591.0170366,552.0099122,20.571,0.934
58966.36407,orange-ATLAS,1352.695359,328.7049722,19.672,0.243
58966.36499,orange-ATLAS,691.8309709,326.5442183,20.4,0.472
58966.36591,orange-ATLAS,605.3408748,407.9997496,20.545,0.674
58966.36921,orange-ATLAS,413.428108,338.1841924,20.959,0.818
58966.37013,orange-ATLAS,1104.587184,421.9523043,19.892,0.382
58966.37474,orange-ATLAS,533.0893422,391.8206665,20.683,0.735
58966.37566,orange-ATLAS,202.3019179,541.3599322,21.735,2.676
58966.37981,orange-ATLAS,513.3339644,298.2470333,20.724,0.581
58970.39672,orange-ATLAS,1399.587323,415.6774348,19.635,0.297
58970.39994,orange-ATLAS,169.3557709,297.2193779,21.928,1.755
58970.40639,orange-ATLAS,1461.503972,369.7605049,19.588,0.253
58970.44002,orange-ATLAS,603.6705648,343.4885514,20.548,0.569
58972.41739,orange-ATLAS,77.83949326,520.7462099,22.772,6.69
58972.42154,orange-ATLAS,233.5608247,345.2028989,21.579,1.478
58972.42934,orange-ATLAS,204.7387276,465.9853441,21.722,2.276
58972.44039,orange-ATLAS,314.4850465,509.1512904,21.256,1.619
58974.38071,orange-ATLAS,-357.4374063,384.9600865,-21.117,1.077
58974.38486,orange-ATLAS,278.9972997,462.577523,21.386,1.658
58974.41911,orange-ATLAS,1589.27847,518.1047812,19.497,0.326
58974.4251,orange-ATLAS,768.4223711,501.011386,20.286,0.652
58976.36608,orange-ATLAS,547.0159629,1801.323566,20.655,3.293
58976.36929,orange-ATLAS,454.5691936,1629.630559,20.856,3.585
58976.37525,orange-ATLAS,2210.039317,1672.999763,19.139,0.757
58976.40656,orange-ATLAS,170.6082389,1656.264783,21.92,9.708
58978.39787,orange-ATLAS,786.3212275,410.4596807,20.261,0.522
58978.40063,orange-ATLAS,315.9366436,346.8984346,21.251,1.098
58978.40665,orange-ATLAS,1243.941624,361.9870125,19.763,0.291
58978.41727,orange-ATLAS,-152.8973647,511.9003769,-22.039,3.348
58980.40577,orange-ATLAS,-114.0775013,417.4095772,-22.357,3.659
58980.40897,orange-ATLAS,-455.4073127,512.3332268,-20.854,1.125
58980.41494,orange-ATLAS,819.5963205,411.4373529,20.216,0.502
58980.42638,orange-ATLAS,3130.40119,9550.854031,18.761,3.051
58982.36375,orange-ATLAS,329.6097122,208.3133381,21.205,0.632
58982.36698,orange-ATLAS,755.0922277,320.9141968,20.305,0.425
58982.37344,orange-ATLAS,45.58269515,262.7842376,23.353,5.765
58982.38357,orange-ATLAS,332.0473358,253.6841645,21.197,0.764
58984.38277,cyan-ATLAS,583.4451043,247.3807242,20.585,0.424
58984.38597,cyan-ATLAS,92.04495718,212.4397612,22.59,2.308
58984.39146,cyan-ATLAS,271.1440009,281.7186169,21.417,1.039
58984.40171,cyan-ATLAS,570.6896549,268.7948275,20.609,0.471
58986.40683,orange-ATLAS,909.4943386,286.4907166,20.103,0.315
58986.41005,orange-ATLAS,405.1352202,316.410607,20.981,0.781
58986.41753,orange-ATLAS,292.6846862,290.0505241,21.334,0.991
58986.4286,orange-ATLAS,908.657049,327.1165376,20.104,0.36
58988.39471,cyan-ATLAS,267.4237657,267.4237657,21.432,1
58988.39792,cyan-ATLAS,713.8385536,308.3782552,20.366,0.432
58988.40347,cyan-ATLAS,600.3437587,287.5646604,20.554,0.479
58988.41357,cyan-ATLAS,622.8737089,259.7383366,20.514,0.417
58990.34917,orange-ATLAS,725.1034976,251.6109137,20.349,0.347
58990.35194,orange-ATLAS,313.9062769,253.3223655,21.258,0.807
58990.35756,orange-ATLAS,922.1466651,255.4346262,20.088,0.277
58990.36815,orange-ATLAS,472.9334149,293.6916507,20.813,0.621
58992.34328,cyan-ATLAS,807.6068613,274.5863329,20.232,0.34
58992.34648,cyan-ATLAS,163.0797361,280.1709866,21.969,1.718
58992.35197,cyan-ATLAS,851.9223264,310.0997268,20.174,0.364
58992.36249,cyan-ATLAS,801.6780634,274.1738977,20.24,0.342
58994.3529,orange-ATLAS,88.22669282,325.7329499,22.636,3.692
58994.35612,orange-ATLAS,41.03930525,328.314442,23.467,8
58994.36173,orange-ATLAS,411.1497211,339.1985199,20.965,0.825
58994.37232,orange-ATLAS,21.63714722,358.5491665,24.162,16.571
58998.32136,orange-ATLAS,-89.20721887,387.605366,-22.624,4.345
58998.32458,orange-ATLAS,781.2679346,609.388989,20.268,0.78
58998.33104,orange-ATLAS,-314.1955285,557.3828675,-21.257,1.774
58998.34444,orange-ATLAS,103.3713052,869.2493057,22.464,8.409
59000.3478,orange-ATLAS,254.4485615,331.8009242,21.486,1.304
59000.35101,orange-ATLAS,-226.360164,342.256568,-21.613,1.512
59000.35655,orange-ATLAS,38.0539725,375.4785467,23.549,9.867
59002.35341,orange-ATLAS,-442.5883724,397.8869468,-20.885,0.899
59002.35663,orange-ATLAS,1084.426196,459.796707,19.912,0.424
59002.364,orange-ATLAS,392.2834625,405.2288168,21.016,1.033
59002.37602,orange-ATLAS,971.8517029,440.2488214,20.031,0.453
59004.40694,orange-ATLAS,-267.1775727,582.9814637,-21.433,2.182
59004.42954,orange-ATLAS,-1131.357864,656.1875612,-19.866,0.58
59004.43276,orange-ATLAS,1324.341535,565.4938355,19.695,0.427
59004.43793,orange-ATLAS,1712.379421,659.2660772,19.416,0.385
59006.30978,orange-ATLAS,-260.1357257,499.720729,-21.462,1.921
59006.313,orange-ATLAS,691.1940644,559.8671922,20.401,0.81
59006.31944,orange-ATLAS,1110.708256,505.3722564,19.886,0.455
59006.32958,orange-ATLAS,1129.275744,543.181633,19.868,0.481
59008.34921,orange-ATLAS,381.5926491,857.4386826,21.046,2.247
59008.35291,orange-ATLAS,-107.2506666,2981.56853,-22.424,27.8
59008.35801,orange-ATLAS,432.513831,2322.599273,20.91,5.37
59008.36824,orange-ATLAS,-2684.108084,1744.670254,-18.928,0.65
59010.31966,orange-ATLAS,177.174004,169.7326958,21.879,0.958
