candid_str,oid,candid,mjd,fid,diffmaglim,magpsf,magap,sigmapsf,sigmagap,ra,dec,sigmara,sigmadec,isdiffpos,distpsnr1,sgscore1,field,rcid,magnr,sigmagnr,rb,magpsf_corr,magap_corr,sigmapsf_corr,sigmagap_corr,has_stamps,parent_candid
"1124511514715015006","ZTF20aakyoez",1124511514715015000,58878.5115161999,1,20.279899597168,20.7780990600586,20.4193000793457,0.423106998205185,0.30469998717308,200.8705804,62.4462698,0.09,0.09,1,3.25765800476074,0.5,821,47,19.7220001220703,0.0949999988079071,0.351428985595703,20.7780990600586,20.4193000793457,0.423106998205185,0.30469998717308,false,1125370563515015000
"1124512414715015005","ZTF20aakyoez",1124512414715015000,58878.5124189998,1,20.2833995819092,20.6756000518799,20.7525005340576,0.394300997257233,0.414400011301041,200.8707163,62.4462435,0.09,0.09,1,3.25765800476074,0.5,821,47,19.7220001220703,0.0949999988079071,0.494286000728607,20.6756000518799,20.7525005340576,0.394300997257233,0.414400011301041,false,1125370563515015000
"1125370563515015015","ZTF20aakyoez",1125370563515015000,58879.3705671001,2,19.7764720916748,19.8558158874512,19.7297992706299,0.204930990934372,0.221799999475479,200.8708844,62.446115,0.09,0.09,1,3.25765800476074,0.5,820,35,19.4340000152588,0.0890000015497208,0.322857141494751,19.8558158874512,19.7297992706299,0.204930990934372,0.221799999475479,true,-1
"1125474653515015017","ZTF20aakyoez",1125474653515015000,58879.4746527998,1,19.9939994812012,20.1606006622314,20.0386009216309,0.30111101269722,0.228200003504753,200.8702895,62.4462556,0.09,0.09,1,2.96469283103943,0.5,820,35,21.503999710083,0.130999997258186,0.157142996788025,20.1606006622314,20.0386009216309,0.30111101269722,0.228200003504753,false,1126469443515015000
"1125492884715015006","ZTF20aakyoez",1125492884715015000,58879.4928819002,1,20.4603996276855,20.3153991699219,20.1725997924805,0.274933010339737,0.242599993944168,200.8711151,62.4461363,0.09,0.09,1,2.96469283103943,0.5,821,47,19.7220001220703,0.0949999988079071,0.602856993675232,20.3153991699219,20.1725997924805,0.274933010339737,0.242599993944168,false,1126469443515015000
"1126469443515015022","ZTF20aakyoez",1126469443515015000,58880.4694444002,1,20.6153450012207,19.894079208374,19.7264995574951,0.154119685292244,0.158899992704391,200.8708415,62.4461947,0.09,0.09,1,2.96469283103943,0.5,820,35,21.503999710083,0.130999997258186,0.674285709857941,19.894079208374,19.7264995574951,0.154119685292244,0.158899992704391,true,-1
"1126491724715015016","ZTF20aakyoez",1126491724715015000,58880.4917245,1,20.7139854431152,19.7413997650146,19.7341003417969,0.126419439911842,0.153200000524521,200.8711024,62.4461985,0.09,0.09,1,3.02647089958191,0.5,821,47,19.7220001220703,0.0949999988079071,0.842857122421265,19.7413997650146,19.7341003417969,0.126419439911842,0.153200000524521,true,-1
"1126511063515015024","ZTF20aakyoez",1126511063515015000,58880.5110648,2,20.487232208252,19.9647846221924,19.9598007202148,0.164575070142746,0.243599995970726,200.8708461,62.4462228,0.09,0.09,1,2.86489129066467,0.5,820,35,19.4340000152588,0.0890000015497208,0.867142856121063,19.9647846221924,19.9598007202148,0.164575070142746,0.243599995970726,true,-1
"1126531344715015006","ZTF20aakyoez",1126531344715015000,58880.5313426,2,20.4383125305176,19.7156009674072,19.4731006622314,0.135039046406746,0.153799995779991,200.8709667,62.4462391,0.09,0.09,1,2.8357081413269,0.5,821,47,19.4060001373291,0.109999999403954,0.490000009536743,19.7156009674072,19.4731006622314,0.135039046406746,0.153799995779991,true,-1
"1127343853515015018","ZTF20aakyoez",1127343853515015000,58881.3438542001,2,20.1829833984375,19.5708274841309,19.660400390625,0.129239708185196,0.229100003838539,200.8709183,62.4462069,0.09,0.09,1,2.93695473670959,0.5,820,35,19.4340000152588,0.0890000015497208,0.931428551673889,19.5708274841309,19.660400390625,0.129239708185196,0.229100003838539,true,-1
