Date(JD-2457000)  Counts  Error
1325.334402  4043.2507  1341.5499
1325.355236  91.6713  1366.5997
1325.37607  -3256.2446  1389.0696
1325.396903  -4930.3724  1563.9223
1325.417737  -7048.0388  1421.4288
1325.43857  -12152.6499  1413.3499
1325.459404  -17971.1351  1609.125
1325.480238  -398.7697  1860.7884
1325.501071  3153.3967  1899.9469
1325.521905  5459.288  1997.8884
1325.542738  7176.3311  2132.3466
1325.563572  12372.5972  2216.3494
1325.584406  16459.1274  2269.121
1325.605239  16550.2097  2308.0071
1325.626073  14936.7722  2327.4945
1325.646906  12641.8178  2317.8482
1325.66774  15234.0848  2298.4649
1325.688574  9412.1208  2291.5364
1325.709407  9885.69  2299.0744
1325.730241  10243.7062  2256.3992
1325.751074  9407.6871  2265.5618
1325.771908  8284.0315  2274.7394
1325.792742  7876.8157  2282.7721
1325.813575  4939.9549  2280.0521
1325.834409  7479.9549  2272.7743
1325.855243  7610.8453  2248.8027
1325.876076  5039.4258  2211.5063
1325.89691  8497.7  2182.8786
1325.917743  9541.3663  2158.5929
1325.938577  7907.8327  2136.0921
1325.959411  3099.7291  2119.4286
1325.980244  3416.2461  2108.6983
1326.001078  6665.1045  2109.9495
1326.021911  6527.9293  2117.6153
1326.042745  6844.4668  2105.4648
1326.063579  6241.9002  2101.1332
1326.084412  2109.8162  2096.7927
1326.105246  4288.6467  2127.918
1326.126079  10430.1177  2126.4712
1326.146913  5515.8944  2105.7471
1326.167747  7104.9048  2099.5692
1326.18858  7991.1551  2086.2653
1326.209414  6926.3681  2073.1818
1326.230248  6337.263  2058.3257
1326.251081  5868.4771  2048.667
1326.271915  10299.7415  2035.2122
1326.292748  5230.9229  2022.6566
1326.313582  4763.2995  2016.5129
1326.334416  6078.4208  2015.043
1326.355249  3579.7069  2009.5622
1326.376083  6884.0633  2011.9906
1326.396916  4253.7856  2005.8357
1326.41775  8377.3682  2007.6544
1326.438584  6662.5709  2006.867
1326.459417  6724.7955  2028.1138
1326.480251  7323.9325  2025.6275
1326.501085  7137.8373  2026.142
1326.521918  10285.761  2029.2569
1326.542752  4902.3583  2037.4347
1326.563585  6641.5171  2034.4583
1326.584419  7177.1518  2027.3711
1326.605253  6773.2919  2023.7619
1326.626086  7653.1953  2015.8598
1326.64692  1294.8958  2001.7642
1326.667753  5805.9073  1987.9317
1326.688587  7974.2609  1970.5514
1326.709421  5846.4217  1951.6333
1326.730254  6767.0356  1936.553
1326.751088  5830.1877  1922.9099
1326.771922  6693.2673  1911.7982
1326.792755  3352.419  1902.994
1326.813589  3997.6209  1898.3657
1326.834422  3484.5939  1888.3338
1326.855256  3733.4857  1875.051
1326.87609  3969.0973  1863.6535
1326.896923  2970.7587  1838.6843
1326.917757  5053.8082  1812.3172
1326.938591  4680.5643  1788.2533
1326.959424  4838.2076  1765.9056
1326.980258  3268.087  1747.1294
1327.001091  3915.5839  1733.538
1327.021925  4529.0599  1727.2639
1327.042759  2151.7014  1730.2057
1327.063592  4433.5411  1732.3422
1327.084426  5769.8011  1726.1736
1327.105259  3056.9637  1725.7613
1327.126093  2077.3108  1722.8676
1327.146927  2853.2619  1721.9746
1327.16776  3838.5017  1709.4705
1327.188594  4809.7471  1708.4588
1327.209428  2610.1785  1696.2178
1327.230261  2762.1928  1694.755
1327.251095  320.8632  1676.5262
1327.271928  764.4451  1661.9295
1327.292762  4186.7388  1648.9656
1327.313596  3491.2387  1639.9383
1327.334429  1467.083  1630.0151
1327.355263  -566.6077  1621.7899
1327.376096  201.6542  1614.1572
1327.39693  1898.4574  1613.1758
1327.417764  -540.6329  1606.725
1327.438597  1432.1386  1606.0944
1327.459431  -1505.0606  1605.0933
1327.480265  2584.7709  1600.7815
1327.501098  1382.3052  1604.5603
1327.521932  1288.3044  1606.2604
1327.542765  1735.4484  1613.5498
1327.563599  -751.7704  1616.6475
1327.584433  1003.2383  1618.5091
1327.605266  2083.1052  1613.5021
1327.6261  -1734.7538  1591.1989
1327.646933  -262.3564  1585.3677
1327.667767  2901.5508  1585.4005
1327.688601  826.9034  1574.7796
1327.709434  -426.9226  1568.6304
1327.730268  1381.221  1566.7313
1327.751102  -552.958  1560.5694
1327.771935  -2102.1212  1555.366
1327.792769  -2340.2526  1550.6323
1327.813602  -13.7177  1545.0059
1327.834436  -6922.8203  1702.7994
1327.85527  156.1746  1527.8397
1327.876103  514.5528  1523.7695
1327.896937  -502.3555  1514.3172
1327.91777  -1320.9569  1473.8019
1327.938604  -3117.1615  1463.4322
1327.959438  -4427.3104  1454.1353
1327.980271  -1507.0859  1447.7632
1328.001105  -1014.0646  1488.0488
1328.021938  -2698.1171  1483.1951
1328.042772  -42.9503  1485.5444
1328.063606  -3543.7898  1483.1792
1328.084439  -2716.6772  1484.7306
1328.105273  -911.0534  1485.7161
1328.126107  -1208.2089  1484.6725
1328.14694  -1501.7816  1482.1314
1328.167774  -261.0991  1480.5046
1328.188607  -712.6642  1475.2862
1328.209441  -2277.8992  1471.9006
1328.230275  -62.5495  1470.0227
1328.251108  -950.795  1466.2155
1328.271942  -2188.9395  1459.8974
1328.292775  2945.4775  1459.4278
1328.313609  -1674.7766  1454.3216
1328.334443  1164.3994  1453.273
1328.355276  656.5624  1451.9244
1328.37611  4067.8437  1451.8921
1328.396943  -152.152  1448.374
1328.417777  -1481.0415  1403.1097
1328.438611  1140.106  1449.851
1328.459444  -1244.1603  1448.4184
1328.480278  348.3399  1409.0334
1328.501112  -3263.1883  1453.8016
1328.521945  -17.8929  1460.1077
1328.542779  -3151.5526  1463.8433
1328.563612  -1188.3537  1470.0117
1328.584446  -1002.5966  1472.5013
1328.60528  -1222.6513  1472.6454
1328.626113  1348.2767  1472.1866
1328.646947  -1689.3813  1470.7969
1328.66778  -508.5812  1470.212
1328.688614  -1024.7442  1468.4511
1328.709448  -202.5555  1468.7929
1328.730281  -3869.627  1467.2195
1328.751115  -231.7276  1469.1949
1328.771949  -901.5569  1468.2425
1328.792782  -4937.347  1467.1616
1328.813616  -2964.8703  1466.613
1328.834449  -3526.0228  1463.583
1328.855283  -1836.5132  1461.4678
1328.876117  -2738.443  1459.0623
1328.89695  -2003.4616  1454.5378
1328.917784  -412.5736  1452.1914
1328.938618  -1018.4897  1446.3352
1328.959451  -2236.9554  1440.4435
1328.980285  -1323.6809  1437.0635
1329.001119  1878.3962  1391.6412
1329.021952  -214.2937  1417.9208
1329.042786  -1934.9858  1433.1861
1329.06362  961.5474  1435.3669
1329.084453  2070.0274  1422.2794
1329.105287  -1829.1914  1419.3861
1329.12612  -2235.573  1394.042
1329.146954  -4617.1967  1435.9854
