SNID: 2020bpi 
RA: 200.8709333     
DECL: 62.4461889 
 
VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR MAG     MAGERR DQ 
OBS: 58828.639217 orange-ATLAS 252.34807724805728 723.2295893929322 21.495 2.866 0 
OBS: 58828.64336 orange-ATLAS -46.687433439201804 766.4675947713761 -23.327 16.417 0 
OBS: 58828.650968 orange-ATLAS -641.5049325106635 716.5610096144111 -20.482 1.117 0 
OBS: 58828.658591 orange-ATLAS 212.81390459827134 664.4050101558031 21.68 3.122 0 
OBS: 58828.659049 orange-ATLAS -454.5691935849236 851.4080995845619 -20.856 1.873 0 
OBS: 58832.645695 orange-ATLAS -995.4054173515285 648.008926695845 -20.005 0.651 0 
OBS: 58832.64891 orange-ATLAS 628.6370884130491 704.702176111028 20.504 1.121 0 
OBS: 58832.65883 orange-ATLAS -697.5896043328058 697.5896043328058 -20.391 1.0 0 
OBS: 58832.663253 orange-ATLAS -585.0594519500057 721.9633637063071 -20.582 1.234 0 
OBS: 58832.664167 orange-ATLAS -1903.7065317420788 934.7199070853607 -19.301 0.491 0 
OBS: 58846.644546 orange-ATLAS -75.71815097147059 250.62707971556767 -22.802 3.31 0 
OBS: 58846.654224 orange-ATLAS -192.13213114037242 206.54204097590033 -21.791 1.075 0 
OBS: 58846.658332 orange-ATLAS -250.72636247771214 278.0555359877828 -21.502 1.109 0 
OBS: 58846.666194 orange-ATLAS -260.85550118689065 385.2835752530375 -21.459 1.477 0 
OBS: 58850.628778 orange-ATLAS 117.70637907805683 270.37155274229656 22.323 2.297 0 
OBS: 58850.63378 orange-ATLAS -549.5408738576253 256.0860472176534 -20.65 0.466 0 
OBS: 58850.637943 orange-ATLAS -247.97048987987017 263.34466025242216 -21.514 1.062 0 
OBS: 58850.655856 orange-ATLAS -362.40985589974434 268.54570322171054 -21.102 0.741 0 
OBS: 58850.660388 orange-ATLAS -649.2321231432129 562.2350186420224 -20.469 0.866 0 
OBS: 58850.665059 orange-ATLAS -257.27642953467796 582.4738364665109 -21.474 2.264 0 
OBS: 58866.616307 orange-ATLAS -305.07034978225124 287.98641019444517 -21.289 0.944 0 
OBS: 58866.619942 orange-ATLAS -88.22669282177178 310.5579587326367 -22.636 3.52 0 
OBS: 58866.625794 orange-ATLAS -29.053603143031513 371.24694096165666 -23.842 12.778 0 
OBS: 58866.637649 orange-ATLAS 307.6096814740705 338.3706496214776 21.28 1.1 0 
OBS: 58868.65393 orange-ATLAS 95.58725718846921 317.6364556372832 22.549 3.323 0 
OBS: 58868.654844 orange-ATLAS 33.978171182708316 336.38389470881236 23.672 9.9 0 
OBS: 58868.657607 orange-ATLAS -629.7961479295184 352.6858428405303 -20.502 0.56 0 
OBS: 58868.658521 orange-ATLAS -179.80426951774385 437.1041791976353 -21.863 2.431 0 
OBS: 58868.662977 orange-ATLAS -209.12213301552845 336.47751202198526 -21.699 1.609 0 
OBS: 58868.663893 orange-ATLAS -269.89820734720155 307.4140581684626 -21.422 1.139 0 
OBS: 58868.666177 orange-ATLAS -873.3734791423216 372.057102114629 -20.147 0.426 0 
OBS: 58868.669386 orange-ATLAS -435.71248050308384 666.6400951697183 -20.902 1.53 0 
OBS: 58870.594918 orange-ATLAS -188.10485289187042 288.3647394832373 -21.814 1.533 0 
OBS: 58870.598251 orange-ATLAS -990.8319448927665 250.68048205786994 -20.01 0.253 0 
OBS: 58870.60484 orange-ATLAS -174.90410399663034 291.5651413623828 -21.893 1.667 0 
OBS: 58870.615226 orange-ATLAS -243.89337302789127 295.35487473677637 -21.532 1.211 0 
OBS: 58872.406283 cyan-ATLAS -545.5065881703729 340.9416176064831 -20.658 0.625 0 
OBS: 58872.409689 cyan-ATLAS -554.1151189716876 454.9285126757555 -20.641 0.821 0 
OBS: 58872.416594 cyan-ATLAS -446.27237076225185 337.3819122962624 -20.876 0.756 0 
OBS: 58872.42645 cyan-ATLAS -5.93745047302196 659.0570025054376 -25.566 111.0 0 
OBS: 58872.591583 cyan-ATLAS 514.2804319487918 268.96866590921815 20.722 0.523 0 
OBS: 58872.594965 cyan-ATLAS -156.60297206860454 225.35167680672194 -22.013 1.439 0 
OBS: 58872.602664 cyan-ATLAS 196.7886289706845 210.7606216276031 21.765 1.071 0 
OBS: 58872.616166 cyan-ATLAS 136.8989130700737 256.68546200638815 22.159 1.875 0 
OBS: 58878.615599 orange-ATLAS 820.3515443298185 283.02128279378735 20.215 0.345 0 
OBS: 58878.620035 orange-ATLAS 61.94410750767818 289.0931497383341 23.02 4.667 0 
OBS: 58878.626563 orange-ATLAS 130.61708881318404 280.8267409483457 22.21 2.15 0 
OBS: 58878.636669 orange-ATLAS 317.6874070649769 327.21802927692625 21.245 1.03 0 
OBS: 58882.604733 orange-ATLAS 1886.253245351067 282.9379868026601 19.311 0.15 0 
OBS: 58882.610053 orange-ATLAS 2197.8598727848275 276.93034397088826 19.145 0.126 0 
OBS: 58882.613992 orange-ATLAS 1942.6743230314908 258.3756849631883 19.279 0.133 0 
OBS: 58882.624173 orange-ATLAS 1690.440931643265 287.37495837935506 19.43 0.17 0 
OBS: 58884.607806 cyan-ATLAS 3767.037989839093 263.69265928873654 18.56 0.07 0 
OBS: 58884.611061 cyan-ATLAS 3480.166322150038 215.77031197330234 18.646 0.062 0 
OBS: 58884.616843 cyan-ATLAS 3826.484865951101 233.41557682301715 18.543 0.061 0 
OBS: 58884.628648 cyan-ATLAS 4058.8219466191867 251.64696069038956 18.479 0.062 0 
OBS: 58894.64294 orange-ATLAS 7291.216599950674 335.395963597731 17.843 0.046 0 
OBS: 58894.646164 orange-ATLAS 7928.663748785485 364.7185324441323 17.752 0.046 0 
OBS: 58894.657473 orange-ATLAS 7928.663748785485 364.7185324441323 17.752 0.046 0 
OBS: 58894.662425 orange-ATLAS 7413.102413009185 437.37304236754187 17.825 0.059 0 
OBS: 58900.562051 cyan-ATLAS 7798.301105232594 327.52864641976896 17.77 0.042 0 
OBS: 58900.564009 cyan-ATLAS 7827.084095906136 461.797961658462 17.766 0.059 0 
OBS: 58900.568357 cyan-ATLAS 7627.812340691608 366.1349923531972 17.794 0.048 0 
OBS: 58900.577871 cyan-ATLAS 7105.5876336947495 454.757608556464 17.871 0.064 0 
OBS: 58902.577416 orange-ATLAS 6292.163512879859 364.94548374703186 18.003 0.058 0 
OBS: 58902.580651 orange-ATLAS 6228.737089440294 355.03801409809677 18.014 0.057 0 
OBS: 58902.585832 orange-ATLAS 6564.47501951699 295.40137587826456 17.957 0.045 0 
OBS: 58902.59601 orange-ATLAS 6332.861644521982 360.973113737753 17.996 0.057 0 
OBS: 58906.3115 orange-ATLAS 5062.9075834602145 551.8569265971634 18.239 0.109 0 
OBS: 58906.333015 orange-ATLAS 4947.661736816767 435.3942328398755 18.264 0.088 0 
OBS: 58910.57113 orange-ATLAS 4269.725940480339 324.49917147650575 18.424 0.076 0 
OBS: 58910.576286 orange-ATLAS 4425.88372362626 309.8118606538382 18.385 0.07 0 
OBS: 58910.579408 orange-ATLAS 5007.258356403348 310.4500180970076 18.251 0.062 0 
OBS: 58910.589417 orange-ATLAS 4799.544249319445 278.37356646052785 18.297 0.058 0 
OBS: 58914.563861 orange-ATLAS 4508.16704541461 396.7186999964856 18.365 0.088 0 
OBS: 58914.568805 orange-ATLAS 3988.4118690905234 319.07294952724186 18.498 0.08 0 
OBS: 58914.572051 orange-ATLAS 4297.3428115368015 403.95022428445935 18.417 0.094 0 
OBS: 58914.584755 orange-ATLAS 3677.9007042238695 397.2132760561779 18.586 0.108 0 
OBS: 58916.610599 orange-ATLAS 3897.6245309771994 697.6747910449186 18.523 0.179 0 
OBS: 58916.613378 orange-ATLAS 4242.286549229501 699.9772806228677 18.431 0.165 0 
