time,f50,m50,f25,m25,f10,m10,f5,m5,f1,m1,f0.5,m0.5,f0.1,m0.1 
1.323973,7.403245,18.2664,5.631205,18.5635,3.787284,18.9942,2.705124,19.3595,1.079408,20.357,0.664693,20.8834,0.16077,22.4245
1.345311,7.494941,18.2531,5.695644,18.5511,3.824595,18.9835,2.72758,19.3506,1.082939,20.3535,0.664865,20.8832,0.159274,22.4346
1.366649,7.586007,18.24,5.759511,18.539,3.861433,18.9731,2.74965,19.3418,1.086287,20.3501,0.664931,20.8831,0.157778,22.4449
1.387987,7.676449,18.2271,5.822815,18.5272,3.897806,18.9629,2.771338,19.3333,1.08946,20.347,0.664896,20.8831,0.156283,22.4552
1.409325,7.766274,18.2145,5.885562,18.5155,3.933718,18.953,2.792654,19.325,1.09246,20.344,0.664764,20.8833,0.15479,22.4656
1.430663,7.855489,18.2021,5.947759,18.5041,3.969179,18.9432,2.813602,19.3168,1.095294,20.3412,0.664538,20.8837,0.1533,22.4761
1.452001,7.9441,18.1899,6.009412,18.4929,4.004194,18.9337,2.834189,19.3089,1.097966,20.3385,0.664222,20.8842,0.151813,22.4867
1.473339,8.032114,18.1779,6.070528,18.4819,4.038769,18.9244,2.854421,19.3012,1.10048,20.336,0.663819,20.8849,0.150331,22.4974
1.494677,8.119536,18.1662,6.131114,18.4712,4.072911,18.9152,2.874305,19.2937,1.10284,20.3337,0.663332,20.8857,0.148854,22.5081
1.516015,8.206374,18.1546,6.191175,18.4606,4.106626,18.9063,2.893846,19.2863,1.105052,20.3315,0.662764,20.8866,0.147382,22.5189
1.537352,8.292632,18.1433,6.250718,18.4502,4.139921,18.8975,2.91305,19.2791,1.107118,20.3295,0.662119,20.8877,0.145917,22.5297
1.55869,8.378316,18.1321,6.309748,18.44,4.1728,18.8889,2.931923,19.2721,1.109044,20.3276,0.661399,20.8888,0.144458,22.5406
1.580028,8.463434,18.1211,6.368271,18.4299,4.20527,18.8805,2.950469,19.2653,1.110832,20.3259,0.660607,20.8901,0.143007,22.5516
1.601366,8.547989,18.1103,6.426294,18.4201,4.237336,18.8723,2.968695,19.2586,1.112487,20.3243,0.659746,20.8916,0.141563,22.5626
