BTJD,mjd,magap,sig_magap,flux,e_flux,mjd_0,e_flux_tuple,modelFlux,modelResidual
1879.8705671001223,58879.3705671001,19.7297992706299,0.221799999475479,0.26201969820692944,0.05389986423958225,9.426487100288796,"(0.002628163767600394, 0.003223832161130714)",0.21992627332842035,0.04209342487850909
1881.011064799968,58880.5110648,19.9598007202148,0.243599995970726,0.21199878027981253,0.047964938728366255,10.56698480018531,"(0.0023129338055085068, 0.0028946976073013723)",0.29662673363890574,-0.0846279533590932
1881.0313426000064,58880.5313426,19.4731006622314,0.153799995779991,0.33190468707218584,0.047173364811061845,10.587262600187387,"(0.0023797689104727814, 0.002741920034638759)",0.29825331778469844,0.03365136928748741
1881.843854200095,58881.343854200095,19.660400390625,0.22910000383853896,0.27931450794709295,0.05937618774685931,11.399774200282991,"(0.0028844699689605166, 0.003562099310207071)",0.3713145908476926,-0.09200008290059963
1882.0325462999756,58881.5325463,19.363000869751,0.142499998211861,0.36732738107005947,0.0483492760915934,11.588466300185246,"(0.00245268546717093, 0.0027966740782900297)",0.3905271731969115,-0.023199792126852026
1882.0600693998856,58881.5600693999,19.489200592040998,0.153200000524521,0.3270193217970468,0.046296486289033066,11.615989400088438,"(0.0023362237266854775, 0.002690261091044685)",0.3934016312500846,-0.0663823094530378
1882.0614467998969,58881.561446799904,19.4750003814697,0.153099998831749,0.3313244591855289,0.046875148616501265,11.617366800091986,"(0.0023655409222016355, 0.002723770205617211)",0.39354596805480374,-0.062221508869274855
1884.0267823999748,58883.5267824,18.779899597168,0.090999998152256,0.6284834003286563,0.05273746232814134,13.582702400184644,"(0.0027429906947237653, 0.0029828013678331114)",0.6479960051294837,-0.019512604800827393
1884.027708299924,58883.5277082999,18.8229007720947,0.10069999843835803,0.6040784480419428,0.056107504889629824,13.583628300089913,"(0.0029046946519563493, 0.003186988412882466)",0.6481393938827968,-0.04406094584085407
1885.0050925998946,58884.5050925999,18.5858993530273,0.0832000002264977,0.751439307551456,0.057639190748153664,14.56101260009018,"(0.0030091616616509873, 0.0032488190281379503)",0.8123368633460673,-0.0608975557946112
1885.006053199992,58884.50605319999,18.402999877929695,0.0711999982595444,0.8893110716184827,0.058360713487534445,14.561973200179636,"(0.0030643158453210403, 0.0032720017418406827)",0.8125110047520885,0.07680006686639418
1885.0487500000745,58884.548750000096,18.5312995910645,0.0750000029802322,0.7901941568116227,0.0546281014744309,14.604670000284386,"(0.0028631458110869867, 0.003067916018710995)",0.8202768655999828,-0.030082708788360057
1885.0520255002193,58884.5520255002,18.5337009429932,0.0732999965548515,0.7884483944555039,0.05327000835457007,14.60794550038554,"(0.0027942272918957817, 0.0029893841589376663)",0.8208746967085756,-0.03242630225307175
1886.0339468000454,58885.5339468,18.2556991577148,0.0579999983310699,1.0185303797573777,0.05443574687172702,15.589866800190066,"(0.0028761771726674573, 0.003034000405049808)",1.013541283447003,0.004989096310374697
1886.0348726999946,58885.5348727,18.233699798584002,0.0560000017285347,1.0393785045407076,0.05363274085799963,15.590792700189922,"(0.002836429134854518, 0.0029865647738614373)",1.0137357428642926,0.025642761676414993
1887.0302662001925,58886.530266200185,18.126499176025398,0.0750999972224236,1.147239205149679,0.07941743112819133,16.58618620037305,"(0.00416219577167392, 0.004460283898528324)",1.2370018742197515,-0.08976266907007258
1887.0501041999087,58886.5501041999,18.1026992797852,0.0636999979615211,1.1726649332242784,0.06883957170911244,16.60602420008945,"(0.0036274185676462567, 0.0038466057005165644)",1.2417429353931169,-0.06907800216883841
1887.9915741002187,58887.4915741002,18.0403995513916,0.0888999998569489,1.2419205968679747,0.1018020296479293,17.547494100384938,"(0.00530028143492612, 0.005752530505159448)",1.4800732076451053,-0.23815261077713057
1887.992476900108,58887.4924769001,17.941499710083,0.0803999975323677,1.3603597269976004,0.10082827176847813,17.548396900288935,"(0.005270976191701582, 0.0056761132715927864)",1.4803143837003665,-0.11995465670276606
1888.0093287001364,58887.5093287001,17.9400997161865,0.0767000019550323,1.362114963400855,0.0963043671431945,17.565248700288066,"(0.005043377409596067, 0.005412544370391112)",1.4848206921291442,-0.12270572872828933
1888.0102315000256,58887.5102315,17.9475002288818,0.0756999999284744,1.3528621886458765,0.09440107197926724,17.566151500184787,"(0.004946060552816212, 0.0053032173755099)",1.4850623481883622,-0.13220015954248576
1888.9672801001002,58888.4672801001,18.0396995544434,0.113899998366833,1.2427215473430773,0.13060792174223998,18.523200100287795,"(0.006718598721607447, 0.007461715775999966)",1.755077215198077,-0.5123556678549996
1888.9686573999934,58888.4686574,17.8785991668701,0.092799998819828,1.4414977989449431,0.12335770816145539,18.52457740018872,"(0.0064105629835274625, 0.006982584033126918)",1.755485873412077,-0.31398807446713395
1890.9474653000946,58890.447465300094,17.8497009277344,0.0756999999284744,1.48038023901905,0.10329912586307254,20.50338530028239,"(0.005412266204815455, 0.005803087906378276)",2.4035426314760837,-0.9231623924570338
1890.9497453998774,58890.4497453999,17.702100753784197,0.0663999989628792,1.6959511894306323,0.10378337455485193,20.50566540008731,"(0.005461741329498532, 0.005806188449793179)",2.4043605883639176,-0.7084093989332854
1890.966898099985,58890.46689809999,17.715499877929698,0.0626000016927719,1.6751499903273552,0.09663719559443125,20.522818100180302,"(0.0050948361972273926, 0.005397221309056718)",2.410519230006764,-0.7353692396794089
1890.9701156998053,58890.470115699805,17.9058990478516,0.0737000033259392,1.4057044873167865,0.09549281272356636,20.526035699993372,"(0.005008030240877204, 0.00535977975577602)",2.411675550426953,-1.0059710631101666
